goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,Year
0,0,0,0,0.0,3,100.0,0,0.0,0,0,33.33,3,100.0,180,1,0,0,2,10,5,5,1,0,1,1,3,1,5,0,18,0,0,0.0,9,20.45,0,4,0,0,0,0,0,0.0,0,0,,0,1,0,Peter Vindahl Jensen,Sparta Praha,814180,2218,24/25
0,0,0,3,60.0,1,100.0,0,0.0,3,0,87.76,4,66.67,180,0,1,1,2,0,0,0,2,2,0,0,0,0,67,0,172,5,1,100.0,2,20.0,2,1,0,1,5,3,1,0.0,0,0,0.81,0,0,0,Angelo Stiller,VfB Stuttgart,901882,2677,24/25
0,0,0,11,47.83,1,100.0,2,40.0,5,0,90.16,12,50.0,180,4,2,3,2,0,0,0,1,1,0,0,0,0,47,1,110,4,1,20.0,0,0.0,2,4,4,1,8,3,2,0.0,0,0,0.69,0,0,0,Achraf Hakimi,Paris Saint-Germain,814594,1644,24/25
1,0,0,4,40.0,0,0.0,1,25.0,0,0,90.0,4,36.36,165,3,0,2,2,0,0,0,1,1,0,0,0,0,39,0,90,6,2,50.0,3,75.0,1,2,1,3,8,4,1,12.5,0,1,0.99,0,0,0,Enzo Millot,VfB Stuttgart,957889,2677,24/25
1,0,0,1,25.0,1,100.0,1,100.0,0,0,75.0,2,40.0,64,0,1,2,1,0,0,0,0,0,0,0,0,0,6,1,18,1,1,50.0,0,0.0,0,0,0,1,2,2,0,50.0,0,2,0.56,0,0,0,Marko Arnautović,Inter,21927,2697,24/25
1,1,0,0,0.0,6,75.0,0,0.0,0,0,88.49,6,66.67,180,0,2,0,2,0,0,0,1,0,0,0,0,0,5,0,123,1,0,0.0,8,57.14,1,7,0,0,2,1,0,50.0,0,0,0.41,0,0,0,Virgil van Dijk,Liverpool,151545,44,24/25
0,0,0,10,71.43,3,60.0,0,0.0,7,1,89.81,13,68.42,180,3,2,2,2,0,0,0,0,0,0,0,0,0,19,0,97,1,0,0.0,1,50.0,0,4,0,0,0,0,0,0.0,0,0,,0,0,0,Sead Kolašinac,Atalanta,142148,2686,24/25
0,0,0,2,40.0,0,0.0,0,0.0,0,1,88.89,2,40.0,21,2,0,0,2,0,0,0,0,0,0,0,0,0,2,1,16,1,1,100.0,0,0.0,0,1,1,0,1,1,0,0.0,0,0,0.05,0,0,0,Jan-Niklas Beste,Benfica,836711,3006,24/25
0,0,0,4,80.0,0,0.0,0,0.0,3,1,70.0,4,66.67,19,1,0,0,1,0,0,0,0,0,0,0,0,0,4,1,7,1,0,0.0,0,0.0,0,0,1,0,1,0,1,0.0,0,0,0.03,0,0,0,James Forrest,Celtic,91744,2352,24/25
0,0,0,4,100.0,6,66.67,0,0.0,4,0,96.88,10,76.92,180,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,124,0,0,0.0,6,85.71,3,10,0,0,0,0,0,0.0,0,0,,0,0,0,Nicolás Otamendi,Benfica,74915,3006,24/25
0,0,0,10,71.43,1,100.0,3,60.0,3,0,95.5,11,73.33,180,4,0,0,2,0,0,0,2,1,0,0,0,0,35,0,106,5,1,20.0,1,50.0,3,3,2,0,3,1,2,0.0,0,1,0.16,0,0,0,Alphonso Davies,FC Bayern München,843665,2672,24/25
0,0,0,4,50.0,2,66.67,0,0.0,2,0,88.03,6,54.55,180,2,2,1,2,0,0,0,3,0,0,0,0,0,27,0,125,5,5,29.41,11,64.71,3,2,1,0,2,0,2,0.0,0,0,0.13,0,0,0,Maxim De Cuyper,Club Brugge KV,997152,2888,24/25
0,0,0,11,61.11,2,66.67,1,50.0,4,0,97.65,13,61.9,166,6,3,1,2,0,0,0,2,2,0,0,0,0,45,0,166,2,0,0.0,0,0.0,2,3,2,0,2,0,0,0.0,0,0,0.05,0,0,0,Atakan Karazor,VfB Stuttgart,801030,2677,24/25
2,1,0,2,28.57,1,100.0,0,0.0,2,0,82.35,3,37.5,180,0,3,1,2,0,0,0,1,0,0,0,0,0,10,0,42,1,1,33.33,4,80.0,2,2,0,0,2,2,0,100.0,0,0,0.43,0,0,0,Kaan Kairinen,Sparta Praha,547862,2218,24/25
1,0,0,7,58.33,0,0.0,4,50.0,2,1,82.02,7,53.85,176,1,1,0,2,0,0,0,1,0,0,0,0,0,19,0,73,2,0,0.0,3,60.0,0,1,0,0,4,3,0,25.0,0,1,0.84,0,1,0,Dominik Szoboszlai,Liverpool,869856,44,24/25
0,0,0,14,50.0,3,100.0,4,40.0,4,0,81.33,17,54.84,173,6,0,6,2,0,0,0,3,1,0,0,0,0,26,2,61,3,2,22.22,5,83.33,1,1,2,0,5,1,2,0.0,0,0,0.37,0,0,0,Xavi Simons,RB Leipzig,997183,36360,24/25
0,0,0,8,88.89,7,77.78,0,0.0,8,0,93.46,15,83.33,180,1,1,0,2,0,0,0,2,0,0,0,0,0,8,0,143,0,0,0.0,13,81.25,2,7,0,0,1,0,1,0.0,0,0,0.06,0,0,0,Jhon Lucumí,Bologna,818481,2685,24/25
0,1,0,18,62.07,1,50.0,7,77.78,5,0,90.54,19,61.29,180,6,1,4,2,0,0,0,4,0,0,0,0,0,30,0,67,4,1,50.0,5,71.43,4,3,4,0,1,0,1,0.0,0,0,0.04,0,0,0,Malik Tillman,PSV Eindhoven,975798,2952,24/25
1,0,0,3,75.0,0,0.0,0,0.0,1,1,86.67,3,60.0,51,2,2,0,2,0,0,0,0,0,0,0,0,0,7,0,26,3,0,0.0,1,100.0,1,1,0,0,2,1,1,50.0,0,0,0.11,0,0,0,Felix Nmecha,Borussia Dortmund,907463,2673,24/25
1,0,0,5,62.5,0,0.0,1,50.0,1,0,92.0,5,55.56,117,3,0,2,2,0,0,0,0,0,0,0,0,0,17,0,46,3,0,0.0,0,0.0,1,0,0,0,3,3,0,33.33,0,1,0.75,0,0,0,Jacob Ramsey,Aston Villa,975937,40,24/25
1,0,0,5,55.56,0,0.0,2,66.67,2,0,67.57,5,55.56,90,1,2,1,1,0,0,0,2,0,0,0,0,0,6,0,25,1,0,0.0,2,66.67,1,0,0,0,1,1,0,100.0,0,0,0.62,0,0,0,Petar Sučić,GNK Dinamo Zagreb,1091303,2032,24/25
1,1,0,4,66.67,8,47.06,0,0.0,2,0,86.05,12,52.17,180,2,2,0,2,0,0,0,1,2,0,0,0,0,13,0,111,0,0,0.0,14,66.67,5,7,1,0,2,2,0,50.0,0,0,0.2,0,0,0,Mohammed Salisu,AS Monaco,946158,1653,24/25
0,0,0,6,50.0,0,0.0,1,50.0,4,1,75.0,6,46.15,90,1,2,1,1,0,0,0,0,0,0,0,0,0,10,0,24,3,0,0.0,1,100.0,0,0,2,1,4,2,1,0.0,0,0,0.68,0,0,0,Pedro Gonçalves,Sporting,895764,3001,24/25
0,0,0,3,30.0,0,0.0,1,50.0,2,1,90.29,3,30.0,151,0,1,2,2,0,0,0,1,0,0,0,0,0,49,0,93,3,1,50.0,2,100.0,1,0,3,0,3,0,1,0.0,0,0,0.13,0,0,0,Julian Brandt,Borussia Dortmund,226978,2673,24/25
0,0,0,3,60.0,2,66.67,2,66.67,0,1,84.62,5,62.5,27,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,11,1,1,100.0,0,0.0,1,0,1,0,1,0,1,0.0,0,0,0.11,0,0,0,Mama Baldé,Stade Brestois,557166,1715,24/25
